referenceCode,fullCitation,referenceDOI
Bathmann1993,"Bathmann, U.V., Makarov, R.R., Spiridonov, V.A. and Rohardt, G., 1993. Winter distribution and overwintering strategies of the Antarctic copepod species Calanoides acutus, Rhincalanus gigas and Calanus propinquus (Crustacea, Calanoida) in the Weddell Sea. Polar Biology, 13, pp.333-346.",10.1007/BF00238360
Baudoin1972,"Baudoin, M. F., and O. Ravera. 1972. Weight, size, and chemical composition of some freshwater zooplankters: Daphnia hyalina (Leydig). Notes in Limnology and Oceanography",
Bayer1980,"Bayer, R.D. (1980). Size, seasonality, and sex ratios of the bay pipefish (Syngnathus leptorhynchus) in Oregon. Northwest Science 54(3):161-167.",
Bayne1977,"Bayne BL, Scullard C (1977) Rates of nitrogen excretion by species of Mytilus (Bivalvia - Mollusca). J. Mar. Biol. Assoc. U.K 57:355-369.",
Benedetti2015,"Benedetti F, Gasparini S, Ayata S-D (2015) Identifying copepod functional groups from species functional traits. Journal of Plankton Research, 0, fbv096.",
Benedetti2016,"Benedetti, F., Gasparini, S., & Ayata, S.-D. (2016). Identifying copepod functional groups from species functional traits. Journal of Plankton Research, 38(1), 159-166. ",10.1093/plankt/fbv096
Benedetti2023,"Benedetti, F., Wydler, J. and Vogt, M., 2023. Copepod functional traits and groups show divergent biogeographies in the global ocean. Journal of Biogeography, 50(1), pp.8-22.",10.1111/jbi.14512
Benovic1973,"Benović, A., 1973. Diurnal vertical migration of Solmissus albescens (Hydromedusae) in the southern Adriatic. Marine biology, 18(4), pp.298-301.",
Benson1972,"Benson, A. A., Lee, R. F., and J. C. Nevenzel. 1972. Wax esters: major marine metabolic energy source . Current trends in the biochemistry of lipids",
Benstead2010,"Benstead JP, et al. (2010) Biotic and abiotic controls on the ecosystem significance of consumer excretion in two contrasting tropical streams. Freshw. Biol 55:2047-2061.",
Berggreen1988,"Berggreen, U., B. Hansen, and T. Kiorboe. 1988. Food size spectra, ingestion an",
Berggreen1988a,"Berggreen, U; Hansen, Benni W; KiÃ¸rboe, Thomas (2014): Maximum ingestion and maximum clearance rate of Acartia tonsa determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834711",10.1594/PANGAEA.834711
Berggreen1988b,"Berggreen, U; Hansen, Benni W; KiÃ¸rboe, Thomas (2014): Growth rate of Acartia tonsa determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834272",10.1594/PANGAEA.834272
Berkeley1957,"Berkeley, E. and Berkeley, C., 1957. On some pelagic Polychaeta from the Northeast Pacific North of Latitude 40° N and east of 175° W. Canadian Journal of Zoology, 35(4), pp.573-578.",10.1139/z57-048
Berne1991,"Berne, T. V. 1991. Abundance, standing crop and production of microcrustacean populations (Cladocera, Copepoda) in the littoral zone of Lake Biel, Switzerland. Archiv f�r Hydrobiologie",
Berrill1949,Berrill N. 1949. Developmental analysis of scyphomedusae. Biol. Rev. 24:393–409,
Bigelow1953,"Bigelow H, Schroeder W, Hole W. 1953. Fishes of the Gulf of Maine",
