referenceCode,fullCitation,referenceDOI
Saiz1999a,"Saiz, E., Calbet, A., Irigoien, X. and Alcaraz, M.: Copepod egg production in the western Mediterranean: Response to food availability in oligotrophic environments, Mar. Ecol. Prog. Ser., 187, 179–189, ",10.3354/meps187179
Saiz1999b,"Saiz, E., Calbert, A., 1999. On the free-spawning reproductive behaviour of the copepod Clausocalanus lividus. J. Plankton Res. 21, 599-602.",
Saiz2003,"Saiz, Enric; Calbet, Albert; Broglio, Elisabetta (2014): Maximum ingestion and maximum clearance rate of Oithona davisae determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.835230",10.1594/PANGAEA.835230
Sakagawa1976,"Sakagawa, Gary T; Kimura, Makoto (2014): Growth rate of Engraulis mordax determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834568",10.1594/PANGAEA.834568
Salonen2012,,
Sameoto1987,"Sameoto, D., Guglielmo, L., Lewis, M.K. (1987) Day/night vertical distribution of euphausiids in the eastern tropical Pacific. Marine Biol. 96, 235-245.",
Sano2013,"Sano, M., Maki, K., Nishibe, Y., Nagata, T., & Nishida, S. (2013). Feeding habits of mesopelagic copepods in Sagami Bay: Insights from integrative analysis. Progress in Oceanography, 110, 11-26. ",https://doi.org/10.1016/j.pocean.2013.01.004
Sano2015,"Sano, M., Nishibe, Y., Tanaka, Y., & Nishida, S. (2015). Temporally sustained dietary niche partitioning in two mesopelagic copepod species and their mouthpart morphology. Marine Ecology Progress Series, 518, 51-67. ",
Santhanam2014,"Santhanam, R., 2014. Nutritional Marine Life. CRC Press",
Saraswathy1982,"Saraswathy M. (1982) Siphonostomes (Copepoda-Cyclopoida) from the Indian Ocean. Journal of Plankton Research, 4(3), 633-641.",
Sardou1996,"Sardou, J. Etienne, M. and Anderson, V. 1996. Seasonal abundance and vertical distributions of macroplankton and micronekton in the Northwestern Mediterranean Sea. Oceanologica Acta, 19, 645-656.",
Sargent1986,"Sargent, J. R., and R. J. Henderson. 1986. Lipids. The biological chemistry of marine copepods",
Sargent1988,"Sargent, J. R., & Falk-Petersen, S. (1988). The lipid biochemistry of calanoid copepods. In Biology of Copepods (pp. 101-114). Springer, Dordrecht.",
Satapoomin2004,"Satapoomin, S., Nielsen, T. and Hansen, P.: Andaman Sea copepods: spatio-temporal variations in biomass and production, and role in the pelagic food web, Mar. Ecol. Prog. Ser., 274, 99–122, ",10.3354/meps274099
Sautour1993,"Sautour, Benoit; Castel, J (2014): Maximum ingestion and maximum clearance rate of Euterpina acutifrons determined experimentall. PANGAEA, https://doi.org/10.1594/PANGAEA.835337",10.1594/PANGAEA.835337
Sazhina1985,Sazhina LI. 1985. Fecundity and growth rate of copepods in different dynamic zones of Equatorial countercurrent of the Indian Ocean. Pol. Arch. Hydrobiol. 32:491–505,
Scavia1982,"Scavia, D., and W. S. Gardner. 1982. Kinetics of nitrogen and phosphorus release in varying food supplies by Daphnia magna. Hydrobiologia",
Schaafsma2018,"Schaafsma, F.L., Cherel, Y., Flores, H., Van Franeker, J.A., Lea, M.A., Raymond, B. and Van De Putte, A.P., 2018. the energetic value of zooplankton and nekton species of the Southern Ocean. Marine Biology, 165, pp.1-35.",10.1007/s00227-018-3386-z
Schaus1997,"Schaus MH, et al. (1997) Nitrogen and phosphorus excretion by detritivorous gizzard shad in a reservoir ecosystem. Limnol. Oceanogr. 42:1386-1397.",
Schaus2010,"Schaus MH, et al. (2010) Impact of the removal of gizzard shad (Dorosoma cepedianum) on nutrient cycles in Lake Apopka, Florida. Freshw. Biol. 55:2401-2413.",
Schaus2013,"Schaus MH, et al. (2013) Effect of a size-selective biomanipulation on nutrient release by gizzard shad in Florida (USA) lakes. Knowl. Manag. Aquat. Ecosyst. 411:13.",
Schindler1968,"Schindler, D. W. 1968. Feeding, assimilation and respiration rates of Daphnia magna under various environmental conditions and their relation to production estimates. Journal of Animal Ecology",
Schluessel2010,"Schluessel V, Bennett M, Collin S. 2010. Diet and reproduction in the white-spotted eagle ray Aetobatus narinari from Queensland, Australia and the Penghu Islands, Taiwan. Mar. Freshw. Res. 61:1278–89",
Schmoker2011,"Schmoker, C; Thor, Peter; HernÃ¡ndez-LeÃ³n, Santiago; Hansen, Benni Winding (2014): Growth rate of Gyrodinium dominans determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834570",10.1594/PANGAEA.834570
Schnack1985,"Schnack, S.B. 1985. Feeding by Euphausia superba and copepod species in response to varying concentrations of phytoplankton. In Antarctic Nutrient Cycles and Food Webs (W.R. Siegfried, P.R. Condy and R.M. Laws, eds). Springer-Verlag, Berlin.",
SchnackSchiel1995,"Schnack-Schiel, S. B., & Hagen, W. (1995). Life-cycle strategies of Calanoides acutus, Calanus propinquus, and Metridia gerlachei (Copepoda: Calanoida) in the eastern Weddell Sea, Antarctica. ICES Journal of marine science, 52(3-4), 541-548. ",10.1016/1054-3139(95)80068-9
Schneider1982,,
Schneider1988,"Schneider, G., 1988. Chemische Zusammensetzung und Biomasseparameter der Ohrenqualle Aurelia aurita. Helgoländer Meeresuntersuchungen 42: 319–327.",
Schneider1995,"Schneider, M. (1995). Argentinidae. Argentinas. p. 858-859. In W. Fischer, F. Krupp, W. Schneider, C. Sommer, K.E. Carpenter and V. Niem (eds.) Guia FAO para Identification de Especies para lo Fines de la Pesca. Pacifico Centro-Oriental. 3 Vols. FAO, Rome.",
Schoo2010,"Schoo, K. L., N. Aberle, A. M. Malzahn & M. Boersma, 2010. Does the nutrient stoichiometry of primary producers affect the secondary consumer Pleurobrachia pileus? Aquatic Ecology 44: 233–242.",
Schuchert2004,"Schuchert P. 2004. Revision of the European athecate hydroids and their medusae (Hydrozoa , Cnidaria): Families Oceanidae and Pachycordylidae. Rev. suisse Zool. 111(2):315–69",
Scolardi2006,"Scolardi, K.M., Daly, K.L., Pakhomov, E.A., and Torres, J.J. 2006. Feeding ecology and metabolism of the Antarctic cydippid ctenophore Callianira antarctica. Marine Ecology Progress Series 317: 111-126.",
Scott2000,"Scott, C. L., Kwasniewski, S., Falk-Petersen, S, and J. R. Sargent. 2000. Lipids and life strategies of Calanus finmarchicus, Calanus glacialis and Calanus hyperboreus in late autumn, Kongsfjorden, Svalbard . Polar Biology ",
Scotto1984,"Scotto di Carlo B., Ianora A., Fresi E. and Hure J. (1984) Vertical zonation patterns for Mediterranean copepods from the surface to 3000 m at a fixed station in the Tyrrhenian Sea. Journal of Plankton Research, 6(6), 1031-1056.",
ScrippsInstitutionofOceanography,"Scripps Institution of Oceanography: Zooplankton Guide, [online] Available from: https://scripps.ucsd.edu/zooplanktonguide/ (Accessed 17 October 2015), 2015.",
Seapy1980,"Seapy, R.R. 1980. Predation by the epipelagic heteropod mollusk Carinaria cristata forma japonica. Marine Biology, 106, 219-225.",
Seibel2007,"Seibel, B.A., Dymowska, A., and Rosenthal, J. 2007. Metabolic temperature compensation and coevolution of locomotory performance in pteropod molluscs. Integrative and Comparative Biology 47: 880-891.",
Senjie1989a,"Senjie, L; Song, L (2014): Growth rate of Labidocera euchaeta determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834574",10.1594/PANGAEA.834574
Senjie1989b,"Senjie, L., and L. Song. 1989. Growth rate of Labidocera euchaeta Giesbrecht in",
SentzBraconnot1965,,
Sereda2008,"Sereda JM, Hudson JJ, Taylor WD, Demers E (2008) Fish as sources and sinks of nutrients in lakes. Freshw. Biol. 53:278-289.",
Seuthe2007,"Seuthe, L., Darnis, G., Riser, C. W., Wassmann, P., & Fortier, L. (2007). Winter–spring feeding and metabolism of Arctic copepods: insights from faecal pellet production and respiration measurements in the southeastern Beaufort Sea. Polar Biology, 30(4), 427-436. ",10.1007/s00300-006-0199-1
Shcherbakoff1935,"Shcherbakoff, A. P. 1935. Uber den Sauerstoffverbrauch von einigen Planktoncrustaceen. Arb. Linmol. Stat. Kossino",
Sheader1977,"Sheader, M. 1977. Breeding and marsupial development in laboratory-maintained Parathemisto gaudichaudi (Amphipoda). J mar biol Ass UK 57: 943-954.",
Shenker1985,"Shenker, J.M. (1985) Carbon content of the neritic scyphomedusa Chrysaora fuscescens. J Plankton Res 7: 169-173",
Shimauchi2007,"Shimauchi H, Uye S (2007) Excretion and respiration rates of the scyphomedusa Aurelia aurita from the Inland Sea of Japan. J. Oceanogr. 63:27-34.",
Shimode2004,"Shimode, S. and Shirayama, Y. (2004) Diel changes in vertical distribution of copepods community in Tanabe Bay, Japan. J. Mar. Biol. Ass. UK. 84, 607-615.",
Shimode2009,"Shimode, S., Hiroe, Y., Hidaka, K., Takahashi, K., Tsuda, A. (2009) Life history and ontogenetic vertical migration of Neocalanus gracilis in the western North Pacific Ocean. Aquat. Biol. 7, 295-306.",
Shimode2012,"Shimode, S., Takahashi, K., Shimizu, Y., Nonomura, T., Tsuda, A., 2012. Distribution and life history of the planktonic copepod, Eucalanus californicus, in the northwestern Pacific: Mechanisms for population maintenance within a high primary production are. Prog. Oceanogr. 96, 1-13.",
Shinohara1994,"Shinohara, G.; Yabe, K.; Nakaya, M.; Anma, G.; Yamaguchi, S.; Amaoka, K. (1994). Deep-sea fishes collected from the North Pacific by the T/S Oshoro-Maru. Bull. Fac. Fish. Hokkaido Univ. 45 (2):48-80.",
Shostell2004,"Shostell J, Bukaveckas PA (2004) Seasonal and interannual variation in nutrient fluxes from tributary inputs, consumer recycling and algal growth in a eutrophic river impoundment. Aquat. Ecol. 38:359-373.",
Sigl1912,"Sigl, A. 1912. Adriatische Thaliaceen Fauna. Sitzungsberichte der Akademie der Wissenschaften in Wien, Mathematik-Naturwissenschaftliche Klasse, 12, 463-508.",
Silver1981,"Silver, M.W. and Bruland, K.W. 1981. Differential feeding and fecal pellet composition of salps and pteropods and the possible large-scale particulate organic matter transport to the deep sea. Marine Biology, 53, 249-255.",
Simmons2009,"Simmons, K., 2009. Observations of the egg cases from the holopelagic polychaete family: Tomopteridae. Monterey Bay Aquarium Research Institute. doi, 10(1.606), p.9917.",
SiokouFrangou1996,"Siokou-Frangou I. (1996) Zooplankton annual cycle in a Mediterranean coastal area. Journal of Plankton Research, 18(2), 203-223.",
SiokouFrangou2010,"Siokou-Frangou I., Christaki U., Mazzocchi M., Montresor M., d'Alcala M.R., Vaqué D. and Zingone, A. (2010) Plankton in the open Mediterranean Sea: a review. Biogeosciences, 7(5), 1543-1586.",
Slater2005,"Slater, L.M., Hopcroft, R.R., 2005. Development, growth and egg production of Centropages abdominalis in the eastern subarctic Pacific. J. Plankton Res. 27, 71-78.",
Smaldon1979,"Smaldon, G. (1979). British coastal shrimps and prawns: keys and notes for the identification of the species. Synopses of the British fauna (new series), 15. Academic Press: London, UK. ISBN 0-12-649250-6. 126 pp.",
Smaldon1993,"Smaldon, G.; Holthuis, L. B.; Fransen, C. H. J. M. (1993). Coastal shrimps and prawns: keys and notes for identification of the species. 2nd ed. Synopses of the British fauna (New Series), 15. Field Studies Council: Shrewsbury. ISBN 1-85153-252-8. 142 pp.",
Small1967,,
Small1983,,
Small2011,"Small GE, Pringle CM, Pyron M, Duff JH (2011) Role of the fish Astyanax aeneus (Characidae) as a keystone nutrient recycler in low-nutrient Neotropical streams. Ecology 92:386-397.",
Smalley1999,"Smalley, Gabriela W; Coats, D Wayne; Adam, E Jeremy (2014): Maximum ingestion and maximum clearance rate of Ceratium furca determined experimentall. PANGAEA, https://doi.org/10.1594/PANGAEA.835338",10.1594/PANGAEA.835338
Smigielski1984,"Smigielski, Alphonse S; Halavik, Thomas A; Buckley, Lawrence J; Drew, Shawn M; Laurence, G C (2014): Growth rate of Ammodytes americanus determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834577",10.1594/PANGAEA.834577
Smiles1971,"Smiles MC, Pearcy WG (1971) Size structure and growth rate of Euphausia pacifica off the Oregon coast. Fish Bull 69: 79–86.",
Smirnov1964,"Smirnov, N. N. 1964. Eurycercus lamellatus (chydoridae: Cladocera): Field observations and nutrition. Hydrobiologia",
Smith1987,"Smith J, Merriner J. 1987. Age and growth, movements and distribution of the cownose ray, Rhinoptera bonasus, in Chesapeake Bay. Estuaries. 10(2):153–64",
Smith1988,"Smith, S. L., & Lane, P. V. Z. (1988). Grazing of the spring diatom bloom in the New York Bight by the calanoid copepods Calanus finmarchicus, Metridia lucens and Centropages typicus. Continental Shelf Research, 8(5), 485-509. ",https://doi.org/10.1016/0278-4343(88)90065-9
Smith1991,"Smith, S. L. and Lane, P. V. Z.: The jet off Point Arena, California: Its role in aspects of secondary production in the copepod Eucalanus californicus Johnson, J. Geophys. Res., 96(C8), 14849, ",10.1029/91JC00906
Snelson1981,"Snelson F, Williams SE. 1981. Notes on the occurrence, distribution, and biology of elasmobranch fishes in the Indian River lagoon system, Florida. Estuaries. 4(2):110–20",
Sogawa2017,"Sogawa, Sayaka, Hiroya Sugisaki, Kazuaki Tadokoro, Tsuneo Ono, Erika Sato, Shinji Shimode, and Tomohiko Kikuchi. ""Feeding habits of six species of euphausiids (Decapoda: Euphausiacea) in the northwestern Pacific Ocean determined by carbon and nitrogen stable isotope ratios."" The Journal of Crustacean Biology 37, no. 1 (2017): 29-36.",10.1093/jcbiol/ruw014
Sohn1971,Sohn IG. 1971. New Late Mississippian Ostracode Genera and Species From Northern Alaska. Geol. Surv. Prof. Pap. 711-A,
Solomon2010,"Solomon CT, Olden JD, Johnson PTJ, Dillon, RT Jr, Vander Zanden MJ (2010) Distribution and community-level effects of the Chinese mystery snail (Bellamya chinensis) in northern Wisconsin lakes. Biol. Invasions 12:1591-1605.",
Sommer2002,"Sommer U., Berninger, U. G., Bottger-Schnack R, Cornils, A. et al. 2002. Grazing during early spring in the Gulf of Aqaba and the northern Red Sea. Marine Ecology Progress Series",
Southward1983,"Southward A. and Barrett R. (1983) Observations on the vertical distribution of zooplankton, including post-larval teleosts, off Plymouth in the presence of a thermocline and a chlorophyll-dense layer. Journal of Plankton Research, 5(4), 599-618.",
Spinelli2015,"Spinelli, M., Derisio, C., Martos, P., Pájaro, M., Esnal, G., Mianzán, H. and Capitanio, F., 2015. Diel vertical distribution of the larvacean Oikopleura dioica in a North Patagonian tidal frontal system (42°–45° S) of the SW Atlantic Ocean. Marine Biology Research, 11(6), pp.633-643.",10.1080/17451000.2014.978338
Spitz2010,"Spitz J, Mourocq E, Schoen V, Ridoux V. 2010. Proximate composition and energy content of forage species from the Bay of Biscay: high- or low-quality food? ICES J. Mar. Sci. 67:909–15",
Srna1976,"Srna RF, Baggaley A (1976) Rate of excretion of ammonia by hard clam Mercenaria-mercenaria and American oyster Crassostrea-virginica. Mar. Biol. 36:251-258.",
Stein2003,"Stein, D. L.; Bond, C. E.; Misitano, D. (2003). Liparis adiastolus (Teleostei, Liparidae): a new snailfish species from the littoral zone of the northeastern Pacific, and redescription of Liparis rutteri (Gilbert and Snyder, 1898). Copeia. 2003(4): 818-823.",
Steinberg1994,"Steinberg D.K., Silver M.W., Pilskaln C.H., Coale S.L. and Paduan J.B. (1994) Midwater zooplankton communities on pelagic detritus (giant larvacean houses) in Monterey Bay, California. Limnology and Oceanography, 39(7), 1606-1620.",
Steinberg2002,"Steinberg, D. K., Goldthwait, S. A., and D. A. Hansell. 2002. Zooplankton vertical migration and the active transport of dissolved organic and inorganic nitrogen in the Sargasso Sea. Deep-Sea Research I",
Steinberg2008,"Steinberg D.K., Cope J.S., Wilson S.E. and Kobari T. (2008) A comparison of mesopelagic mesozooplankton community structure in the subtropical and subarctic North Pacific Ocean. Deep Sea Research Part II: Topical Studies in Oceanography,  55(14), 1615-1635.",
Stepien1976,"Stepien, W P (2014): Maximum ingestion and maximum clearance rate of Archosargus rhomboidalis determined experimentall. PANGAEA, https://doi.org/10.1594/PANGAEA.835340",10.1594/PANGAEA.835340
Sterrett2015,"Sterrett SC, Maerz JC, RA Katz (2015) What can turtles teach us about the theory of ecological stoichiometry? Freshw. Biol. 60:443-455.",
Stoecker1983,"Stoecker, D; Davis, L H; Provan, A (2014): Growth rate of Favella sp. and Balanion sp. determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834578",10.1594/PANGAEA.834578
Stone1969,Stone JH. 1969. The Chaetognatha Community of the Agulhas Current: Its Structure and Related Properties. Ecol. Monogr. 39(4):433–64,
StopBowitz1948,"Stop-Bowitz, C. 1948. Polychaeta from the Michael Sars North Atlantic deep-sea expedition 1910. Report on the Scientific Results of the Michael Sars North Atlantic Deep-Sea Expedition 5: 1-191.",
Stottrup1990,"Stottrup, Josianne G; Jensen, Johanne (2014): Maximum ingestion and maximum clearance rate of Acartia tonsa determined experimentall. PANGAEA, https://doi.org/10.1594/PANGAEA.835347",10.1594/PANGAEA.835347
Strathmann1987,"Strathmann, M.F., 2017. Reproduction and development of marine invertebrates of the northern Pacific coast: data and methods for the study of eggs, embryos, and larvae. University of Washington Press.",
Strom1991,"Strom, Suzanne L (2014): Maximum ingestion and maximum clearance rate of Gymnodinium sp. determined experimentall. PANGAEA, https://doi.org/10.1594/PANGAEA.835342",10.1594/PANGAEA.835342
Strom1998,"Strom, Suzanne L; Morello, T Aaron (2014): Growth rate of Ciliates and Dinoflagellates determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834582",10.1594/PANGAEA.834582
Struhsaker1969,"Struhsaker P. 1969. Observations on the biology and distribution of the thorny stingray, Dasyatis centroura (Pisces: Dasyatidae). Bull. Mar. Sci. 19:456–81",
Stuart1986,"Stuart, Venetia (2014): Maximum ingestion and maximum clearance rate of Euphausia lucens determined experimentall. PANGAEA, https://doi.org/10.1594/PANGAEA.835345",10.1594/PANGAEA.835345
Sugisaki1998,"Sugisaki, H., Brodeur, R., Napp, R., Jeffrey, M., 1998. Summer Distribution and Abundance of Macrozooplankton in the Western Gulf of Alaska and Southeastern Bering Sea. Memoires of the faculty of Fisheries. Hokkaido University. 1-112.",
Suh1988,"Suh, H.L. and Nemoto, T., 1988. Morphology of the gastric mill in ten species of euphausiids. Marine Biology, 97, pp.79-85.",10.1007/BF00391247
Sullivan1980,"Sullivan, B. K., 1980. In situ feeding behavior of Sagitta elegans and Eukrohnia hamata (Chaetognatha) in relation to the vertical distribution and abundance of prey at Ocean Station “P”, Limnol. Oceanogr. 25, 317-326. doi: 10.4319/lo.1980.25.2.0317.",
Sullivan2011,"Sullivan, L.J. and Kremer, P., 2011. Gelatinous zooplankton and their trophic roles.",
Suprenand2015,"Suprenand, P.M., Ombres, E.H., and Torres, J.J. 2015. Metabolism of gymnosomatous pteropods in waters of the western Antarctic Peninsula shelf during austral fall. Marine Ecology Progress Series 518: 69-83.",
Sutherland2010,"Sutherland, Kelly R; Pinnegar, John Keith (2014): Maximum ingestion and maximum clearance rate of Tunicata determined experimentall. PANGAEA, https://doi.org/10.1594/PANGAEA.835348",10.1594/PANGAEA.835348
Sutherland2016,"Sutherland, K.R., Gemmell, B.J., Colin, S.P. and Costello, J.H., 2016. Prey capture by the cosmopolitan hydromedusae, Obelia spp., in the viscous regime. Limnology and Oceanography, 61(6), pp.2309-2317.",10.1002/lno.10390
Swadling2013a,"Swadling, K. M., Slotwinski, A., Davies, C., Beard, J., McKinnon, A. D., Coman, F., Murphy, N., Tonks, M., Rochester, W., Conway, D. V. P., Hosie, G. W. and Richardson, A. J.: Australian Marine Zooplankton: a taxonomic guide and atlas. Version 1.0, [online] Available from: http://www.imas.utas.edu.au/zooplankton/home (Accessed 25 January 2016), 2013.",
Swadling2013b,"Swadling K.M., Slotwinski A., Davies C., Beard J., McKinnon A.D., Coman F., Murphy N., Tonks M., Rochester W., Conway D.V.P., Hosie G.W. and Richardson A.J. (2013) Australian Marine Zooplankton: a taxonomic guide and atlas. Version 1.0 February 2013. Available online at http://www.imas.utas.edu.au/zooplankton",
Swift2009,"Swift, H. F., Hamner, W. M., Robison, B. H., & Madin, L. P. (2009). Feeding behavior of the ctenophore Thalassocalyce inconstans: revision of anatomy of the order Thalassocalycida. Marine biology, 156(5), 1049-1056.",10.1007/s00227-009-1149-6
Szabo1986,"Szabo, I. and Gardner, G. A.: First description of Metridia okhotensis Brodsky, 1950 (Crustacea: Copepoda) male, with female, fifth copepodites, and notes on distribution in British Columbia inlets, Can. J. Zool., 64(7), 1555–1562, ",10.1139/z86-232
Taguchi1972,"Taguchi, S., and H. Ishii. 1972. Shipboard experiments on respiration, excretion and grazing of Calanus cristatus and C plumchrus (Copepoda) in the Northern North Pacific. Biological oceanography of the North Pacific Ocean",
Takahashi2011,"Takahashi, K., & Ide, K. (2011). Reproduction, grazing, and development of the large subarctic calanoid Eucalanus bungii: is the spring diatom bloom the key to controlling their recruitment? Hydrobiologia, 666(1), 99-109. ",10.1007/s10750-010-0093-2
Takahashi2013,"Takahashi K., Ichikawa T., Saito H., Kakehi S., Sugimoto Y., Hidaka K. and Hamasaki K. (2013) Sapphirinid copepods as predators of doliolids: Their role in doliolid mortality and sinking flux. Limnology and Oceanography, 58(6), 1972-1984.",
Takenaka2012,"Takenaka, Y., Yamaguchi, A., Tsuruoka, N., Torimura, M., Gojobori, T. and Shigeri, Y., 2012. Evolution of bioluminescence in marine planktonic copepods. Molecular biology and evolution, 29(6), pp.1669-1681.",10.1093/molbev/mss009
Taki2004,Taki K (2004) Distribution and life history of Euphausia pacifica off northeastern Japan. Fish Oceanogr 13: S34–S43.,
Taki2010,"Taki, K., 2010. Distribution and population structure of Thysanoessa inspinata and its dominance among euphausiids off northeastern Japan. J. Plankton Res. 33, 891-906.",
Tande1982,"Tande, K. S. 1982. Ecological Investigations on the zooplankton community of Balsfjorden, Northern Norway: Generation cycles, and variations in body weight and body content of carbon and nitrogen related to overwintering and reproduction in the copepod Calanus finmarchicus (Gunnerus). J. Exp. Mar. Biol. Ecol. 62: 129–142.",
Tande1988,"Tande, K. S., and R. J. Henderson. 1988. Lipid Composition of Copepodite Stages and Adult Females of Calanus glacialis in Arctic Waters of the Barents Sea . Polar Biology",
Tandler1985,"Tandler, Amos; Helps, Sarah (2014): Growth rate of Ciliates and Dinoflagellates determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834589",10.1594/PANGAEA.834589
Tarvainen2005,"Tarvainen M, Ventela AM, Helminen H, Sarvala J. (2005) Nutrient release and resuspension generated by ruffe (Gymnocephalus cernuus) and chironomids. Freshw. Biol. 50:447-458.",
Tatrai1982,Tatrai I (1982) Oxygen-consumption and ammonia excretion of herbivorous chironomid larvae in Lake Balaton. Hydrobiologia 96:129-135.,
Taylor2012,"Taylor JM, Back JA, Valenti TW, King RS (2012) Fish-mediated nutrient cycling and benthic microbial processes: can consumers influence stream nutrient cycling at multiple spatial scales? Freshw. Sci. 31:928-944.",
Tebble1960,,
Tebeau1994,"Tebeau, Christopher M; Madin, L P (2014): Maximum ingestion and maximum clearance rate of Dolioletta gegenbauri determined experimentall. PANGAEA, https://doi.org/10.1594/PANGAEA.835354",10.1594/PANGAEA.835354
Teegarden1999,"Teegarden, Gregory J (2014): Maximum ingestion and maximum clearance rate of Acartia tonsa, Centropages hamatus and Eurytemora herdmani determined experimentall. PANGAEA, https://doi.org/10.1594/PANGAEA.835355",10.1594/PANGAEA.835355
Tesch1913,,
Teuber2013,"Teuber, L., Schukat, A., Hagen, W. and Auel, H.: Distribution and Ecophysiology of Calanoid Copepods in Relation to the Oxygen Minimum Zone in the Eastern Tropical Atlantic, edited by H. I. Browman, PLoS One, 8(11), e77590, ",10.1371/journal.pone.0077590
Teuber2013a,"Teuber, L., Kiko, R., Séguin, F. and Auel, H.: Respiration rates of tropical Atlantic copepods in relation to the oxygen minimum zone, J. Exp. Mar. Bio. Ecol., 448, 28–36, ",10.1016/j.jembe.2013.06.012
Teuber2019,"Teuber, L., Hagen, W., Bode, M., & Auel, H. (2019). Who is who in the tropical Atlantic? Functional traits, ecophysiological adaptations and life strategies in tropical calanoid copepods. Progress in Oceanography, 171, 128-135. ",
Theilacker1987,"Theilacker, Gail H (2014): Growth rate of Engraulis mordax determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834597",10.1594/PANGAEA.834597
Thompson1948,,
Thuesen1993,"Thuesen, E.V. and Childress, J.J. 1993. Metabolic rates, enzyme activities and chemical compositions of some deep-sea pelagic worms, particularly Nectonemertes mirabilis (Nemertea; Hoplonemertinea) and Poeobius meseres. Deep Sea Research, Part I 40: 937-951.",
Thuesen1998,"Thuesen, E., Miller, C. and Childress, J.: Ecophysiological interpretation of oxygen consumption rates and enzymatic activities of deep-sea copepods, Mar. Ecol. Prog. Ser., 168, 95–107, ",10.3354/meps168095
Tiselius1990,"Tiselius P. and Jonsson P.R. (1990) Foraging behavior of 6 calanoid copepods - Observations and hydrodynamic analysis. Marine Ecology Progress Series, 66(1-2), 23-33.",
Tmpling199,"T�mpling, W. V., and G. Friedrich. 1999. Biologische Gewasseruntersuchung. Methoden der Biologischen Wasseruntersuchung II",
Tokranov2001,"Tokranov, A.M.; Orlov, A.M. (2001). Some biological features of Psychrolutidae in the Pacific waters off southeastern Kamchatka and northern Kuril Islands: communication 2. Size-age and sex composition and feeding. J. Ichthyol. 41(8):575-583.",
Tomita2003,"Tomita, M., Shiga, N. and Ikeda, T., 2003. Seasonal occurrence and vertical distribution of appendicularians in Toyama Bay, southern Japan Sea. Journal of Plankton Research, 25(6), pp.579-589.",doi.org/10.1093/plankt/25.6.579
Torres1994a,"Torres, J.J., Aarset, A.V., Donnelly, J. et al. 1994. Metabolism of Antarctic micronektonic Crustacea as a function of depth of occurrence and season. Marine Ecology Progress Series 113: 207-219.",
Torres1994b,"Torres, J.J., Donnelly, J., Hopkins, T.L. et al. 1994. Proximate composition and overwintering strategies of Antarctic micronektonic Crustacea. Marine Ecology Progress Series 113: 221-232.",
Torres2007,"Torres LE, Vanni MJ (2007) Stoichiometry of nutrient excretion by fish: interspecific variation in a hypereutrophic lake. Oikos 116:259-270.",
Torres2022,"Torres, J.J., Bailey, T.G. and Wiley-Blackwell, F., 2022. Life in the open Ocean: the biology of pelagic species. Wiley Blackwell.",
Tsuda1992,"Tsuda, A. and Nemoto, T. 1992. Distribution and growth of salps in Kuroshio warm-core ring during summer 1987. Deep-Sea Research, 39 (Supplement 1) 219-229.",
Tsuda1999,"Tsuda, A., Saito, H., and H. Kasai. 1999. Life histories of Neocalanus emingeri and Neocalanus plumchrus in the western subarctic Pacific. Marine Biology",
Tsurumi2005,"Tsurumi, M., Mackas, D.L., Whitney, F.A., DiBacco, C., Galbraith, M.D. and Wong, C.S. (2005) Pteropods, eddies, carbon flux and climate variability in the Alaska Gyre. Deep-Sea Res II. 52, 1037-1053.",
Turner1984a,"Turner J.T., Tester P.A. and Conley W.J. (1984) Zooplankton feeding ecology: predation by the marine cyclopoid copepod Corycaeus amazonicus F. Dahl upon natural prey. Journal of Experimental Marine Biology and Ecology, 84(2), 191-202.",
Turner1984b,"Turner, J. T. (1984). Zooplankton feeding ecology: contents of fecal pellets of the copepods Temora turbinata and T. stylifera from continental shelf and slope waters near the mouth of the Mississippi River. Marine Biology, 82(1), 73-83. ",10.1007/BF00392765
Turner1986,"Turner J.T. (1986) Zooplankton feeding ecology: contents of fecal pellets of the cyclopoid copepods Oncaea venusta, Corycaeus amazonicus, Oithona plumifera, and O. simplex from the northern Gulf of Mexico. Marine Ecology, 7(4), 289-302.",
Turner1988,"Turner, J.T., Tester, P.A. and Fergusson, R.L. 1988. The marine cladoceran Penili avirostris and the 'microbial loop' of pelagic food webs. Limnology and Oceanography, 33, 245-255/",
Turner2004,"Turner, J. T. 2004. The importance of small planktonic copepods and their roles in pelagic marine food webs. Zoological Studies",
Turner2010,Turner CB (2010) Influence of zebra (Dreissena polymorpha) and quagga (Dreissena rostriformis) mussel invasions on benthic nutrient and oxygen dynamics. Can. J. Fish. Aquat. Sci. 67:1899-1908.,
