traitBucket,traitNum,trait,traitID,traitName,traitUnit,verbatimTraitName,verbatimTraitUnit,valueType
behavioral,31,feeding mode,173,FM.active.ambush,,,,binary
behavioral,31,feeding mode,174,FM.passive.ambush,,,,binary
behavioral,31,feeding mode,175,FM.particle.feeder,,,,binary
behavioral,31,feeding mode,176,FM.parasite,,,,binary
behavioral,31,feeding mode,177,FM.commensal,,,,binary
behavioral,32,reproduction mode,139,reproductionMode,,reproductionMode,,categorical
behavioral,32,reproduction mode,139,reproductionMode,,Reproduction.mode,,categorical
behavioral,32,reproduction mode,139,reproductionMode,,Spawning strategy,,categorical
behavioral,32,reproduction mode,139,reproductionMode,,Spawning.strategy,,categorical
behavioral,32,reproduction mode,139,reproductionMode,,Spawning.mode,,categorical
behavioral,32,reproduction mode,178,RM.broadcasting,,,,binary
behavioral,32,reproduction mode,179,RM.brooding,,,,binary
behavioral,32,reproduction mode,180,RM.asexual,,,,binary
behavioral,33,trophic group,140,trophicGroup,,trophicGroup,,categorical
behavioral,33,trophic group,140,trophicGroup,,Trophic.group,,categorical
behavioral,33,trophic group,140,trophicGroup,,Trophic.Regime,,categorical
behavioral,33,trophic group,181,TG.carnivore,,,,binary
behavioral,33,trophic group,182,TG.omnivore,,,,binary
behavioral,33,trophic group,183,TG.herbivore,,,,binary
behavioral,33,trophic group,184,TG.detritivore,,,,binary
behavioral,34,vertical distribution,141,verticalDistribution,,verticalDistribution,,categorical
behavioral,34,vertical distribution,141,verticalDistribution,,Vertical.distribution,,categorical
behavioral,34,vertical distribution,141,verticalDistribution,,Pelagic.layer,,categorical
behavioral,35,habitat association,142,habitatAssociation,,habitatAssociation,,categorical
behavioral,35,habitat association,142,habitatAssociation,,Habitat,,categorical
behavioral,36,diel vertical migration,143,dielVerticalMigration,,dvm,,categorical
behavioral,36,diel vertical migration,143,dielVerticalMigration,,DVM,,categorical
behavioral,36,diel vertical migration,143,dielVerticalMigration,,DVM.behaviour,,categorical
behavioral,36,diel vertical migration,185,DVM.absent,,,,binary
behavioral,36,diel vertical migration,186,DVM.present,,,,binary
behavioral,36,diel vertical migration,187,DVM.reverse,,,,binary
behavioral,36,diel vertical migration,188,DVM.weak,,,,binary
behavioral,36,diel vertical migration,189,DVM.strong,,,,binary
life history,37,hibernation,144,hibernation,,hibernation,,categorical
life history,37,hibernation,145,hibernationStage,,hibernationStage,,categorical
